Given Name,Surname,Organization,Country,Gender,Serial Number,Email,Training Workshop Name,Training Workshop Venue,Training Workshop Date
Diana,Davis,OrgC,Canada,Female,2024016232,diana.davis@example.com,Training Workshop on Generating Certificates,"Bangkok, Thailand",2-4 Sep 2024
Hannah,Martinez,OrgE,UK,Male,2024013137,hannah.martinez@mail.com,Training Workshop on Generating Certificates,"Bangkok, Thailand",2-4 Sep 2024
John,Garcia,OrgA,Australia,Female,2024019029,john.garcia@mail.com,Training Workshop on Generating Certificates,"Bangkok, Thailand",2-4 Sep 2024
Alice,Johnson,OrgB,USA,Female,2024016323,alice.johnson@mail.com,Training Workshop on Generating Certificates,"Bangkok, Thailand",2-4 Sep 2024
Hannah,Davis,OrgA,USA,Female,2024013881,hannah.davis@test.com,Training Workshop on Generating Certificates,"Bangkok, Thailand",2-4 Sep 2024
Bob,Davis,OrgD,USA,Male,2024010877,bob.davis@mail.com,Training Workshop on Generating Certificates,"Bangkok, Thailand",2-4 Sep 2024
Jane,Martinez,OrgD,Australia,Female,2024012253,jane.martinez@mail.com,Training Workshop on Generating Certificates,"Bangkok, Thailand",2-4 Sep 2024
John,Williams,OrgC,Germany,Female,2024010114,john.williams@example.com,Training Workshop on Generating Certificates,"Bangkok, Thailand",2-4 Sep 2024
Charlie,Jones,OrgB,Germany,Female,2024014438,charlie.jones@mail.com,Training Workshop on Generating Certificates,"Bangkok, Thailand",2-4 Sep 2024
Alice,Wilson,OrgD,UK,Male,2024013339,alice.wilson@test.com,Training Workshop on Generating Certificates,"Bangkok, Thailand",2-4 Sep 2024
